hp,Synchronous Speed (RPM),Poles,Nominal Efficiency ,Eff Type,NEMA Table,Motor Type,Hz,Voltage Limit,Catalog,,,,
50,900,8,92.4,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
50,1800,4,93,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
50,1200,6,93,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
50,1800,4,93,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
50,1200,6,93,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
50,3600,2,93,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
50,3600,2,93,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
50,1000,6,93.4,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
50,1000,6,93.4,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
50,3000,2,93.7,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
50,3000,2,93.7,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
50,1500,4,93.9,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
50,1500,4,93.9,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
50,1200,6,94.1,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
50,1200,6,94.1,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
50,1800,4,94.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
50,1800,4,94.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
60,900,8,91.7,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
60,900,8,92.4,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
60,900,8,92.4,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
60,3600,2,93,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
60,3600,2,93,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
60,900,8,93,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
60,1800,4,93.6,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
60,1200,6,93.6,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
60,1800,4,93.6,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
60,1200,6,93.6,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
60,3600,2,93.6,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
60,3600,2,93.6,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
60,1000,6,93.7,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
60,1000,6,93.7,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
60,3000,2,94,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
60,3000,2,94,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
60,1500,4,94.2,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
60,1500,4,94.2,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
60,1200,6,94.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
60,1200,6,94.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
60,1800,4,95,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
60,1800,4,95,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
75,3600,2,93,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
75,3600,2,93,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
75,900,8,93,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
75,1200,6,93.6,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
75,900,8,93.6,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
75,1200,6,93.6,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
75,3600,2,93.6,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
75,3600,2,93.6,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
75,900,8,93.6,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
75,1800,4,94.1,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
75,1800,4,94.1,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
75,900,8,94.1,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
75,1000,6,94.1,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
75,1000,6,94.1,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
75,3000,2,94.3,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
75,3000,2,94.3,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
75,1200,6,94.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
75,1200,6,94.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
75,1500,4,94.6,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
75,1500,4,94.6,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
75,1800,4,95,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
75,1800,4,95.4,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
100,3600,2,93,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
100,900,8,93,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
100,900,8,93.6,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
100,3600,2,93.6,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
100,3600,2,93.6,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
100,900,8,93.6,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
100,1800,4,94.1,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
100,1200,6,94.1,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
100,1200,6,94.1,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
100,900,8,94.1,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
100,3600,2,94.1,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
100,1800,4,94.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
100,1000,6,94.6,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
100,1000,6,94.6,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
100,3000,2,94.7,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
100,3000,2,94.7,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
100,1200,6,95,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
100,1200,6,95,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
100,1500,4,95,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
100,1500,4,95,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
100,1800,4,95.4,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
100,1800,4,95.4,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
125,3600,2,93.6,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
125,900,8,93.6,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
125,900,8,93.6,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
125,1200,6,94.1,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
125,1200,6,94.1,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
125,3600,2,94.1,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
125,900,8,94.1,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
125,900,8,94.1,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
125,1800,4,94.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
125,3600,2,94.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
125,1800,4,94.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
125,1000,6,94.9,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
125,1000,6,94.9,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
125,1200,6,95,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
125,3600,2,95,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
125,1200,6,95,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
125,3000,2,95,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
125,3000,2,95,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
125,1500,4,95.3,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
125,1500,4,95.3,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
125,1800,4,95.4,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
125,1800,4,95.4,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
150,3600,2,93.6,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
150,900,8,93.6,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
150,900,8,93.6,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
150,3600,2,94.1,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
150,900,8,94.1,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
150,900,8,94.1,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
150,1200,6,94.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
150,3600,2,94.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
150,1800,4,95,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
150,1800,4,95,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
150,1200,6,95,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
150,3600,2,95,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
150,3000,2,95.2,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
150,1000,6,95.2,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
150,3000,2,95.2,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
150,1000,6,95.2,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
150,1200,6,95.4,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
150,1500,4,95.5,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
150,1500,4,95.5,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
150,1800,4,95.8,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
150,1800,4,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
150,1200,6,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
200,900,8,93.6,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
200,900,8,94.1,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
200,900,8,94.1,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
200,3600,2,94.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
200,1200,6,94.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
200,900,8,94.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
200,1800,4,95,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
200,3600,2,95,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
200,1800,4,95,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
200,1200,6,95,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
200,3600,2,95,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
200,1200,6,95.4,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
200,3600,2,95.4,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
200,3000,2,95.5,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
200,1000,6,95.5,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
200,3000,2,95.5,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
200,1000,6,95.5,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
200,1800,4,95.8,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
200,1200,6,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
200,1500,4,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
200,1500,4,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
200,1800,4,96.2,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
250,900,8,93.6,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
250,900,8,94.1,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
250,3600,2,94.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
250,900,8,94.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
250,900,8,94.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
250,3600,2,94.5,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
250,1800,4,95,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
250,1200,6,95,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
250,3600,2,95,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
250,900,8,95,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
250,900,8,95,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
250,1800,4,95,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
250,1200,6,95,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
250,3600,2,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
250,1800,4,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
250,1200,6,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
250,1800,4,95.4,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
250,1200,6,95.4,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
250,3600,2,95.4,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
250,3000,2,95.7,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
250,1000,6,95.7,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
250,3000,2,95.7,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
250,1000,6,95.7,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
250,1800,4,95.8,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
250,1200,6,95.8,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
250,3600,2,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
250,1200,6,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
250,1500,4,95.9,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
250,1500,4,95.9,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
250,1800,4,96.2,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
300,3600,2,94.5,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
300,3600,2,95,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
300,1200,6,95,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
300,1800,4,95,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
300,1200,6,95,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
300,3600,2,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
300,1800,4,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
300,1200,6,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
300,1800,4,95.4,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
300,1200,6,95.4,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
300,3600,2,95.4,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
300,1800,4,95.4,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
300,3600,2,95.4,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
300,1800,4,95.8,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
300,1200,6,95.8,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
300,3600,2,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
300,1200,6,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
300,3000,2,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
300,1000,6,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
300,3000,2,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
300,1000,6,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
300,1500,4,96,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
300,1500,4,96,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
300,1800,4,96.2,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
350,3600,2,94.5,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
350,3600,2,95,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
350,1200,6,95,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
350,1800,4,95,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
350,1200,6,95,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
350,3600,2,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
350,1800,4,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
350,1200,6,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
350,1800,4,95.4,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
350,1200,6,95.4,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
350,3600,2,95.4,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
350,1800,4,95.4,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
350,3600,2,95.4,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
350,1800,4,95.8,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
350,1200,6,95.8,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
350,3600,2,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
350,1200,6,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
350,3000,2,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
350,1000,6,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
350,3000,2,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
350,1000,6,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
350,1500,4,96,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
350,1500,4,96,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
350,1800,4,96.2,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
400,3600,2,94.5,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
400,1800,4,95,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
400,3600,2,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
400,1800,4,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
400,3600,2,95.4,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
400,1800,4,95.4,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
400,3600,2,95.4,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
400,1800,4,95.4,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
400,3600,2,95.8,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
400,1800,4,95.8,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
400,3600,2,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
400,3000,2,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
400,1000,6,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
400,3000,2,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
400,1000,6,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
400,1500,4,96,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
400,1500,4,96,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
400,1800,4,96.2,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
450,3600,2,94.5,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
450,1800,4,95,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
450,3600,2,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
450,1800,4,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
450,3600,2,95.4,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
450,1800,4,95.4,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
450,3600,2,95.8,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
450,1800,4,95.8,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
450,3600,2,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
450,3000,2,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
450,1000,6,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
450,3000,2,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
450,1000,6,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
450,1500,4,96,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
450,1500,4,96,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
450,3600,2,96.2,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
450,1800,4,96.2,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
450,1800,4,96.2,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
500,3600,2,94.5,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
500,1800,4,95,Premium Efficiency,Table 12-13,ODP,60,5000,NEMA MG - 1-2018,,,,
500,3600,2,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
500,1800,4,95,Premium Efficiency,Table 12-13,TEFC,60,5000,NEMA MG - 1-2018,,,,
500,3600,2,95.4,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
500,3600,2,95.8,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
